date,floor,unit,water_usage,num_residents,unit_size
2024-01-16,1,1,653.82,3,123
2024-01-17,1,1,955.61,3,123
2024-01-18,1,1,666.49,3,123
2024-01-19,1,1,255.99,3,123
2024-01-20,1,1,436.86,3,123
2024-01-21,1,1,585.23,3,123
2024-01-22,1,1,566.74,3,123
2024-01-23,1,1,735.27,3,123
2024-01-24,1,1,807.66,3,123
2024-01-25,1,1,357.82,3,123
2024-01-26,1,1,462.74,3,123
2024-01-27,1,1,352.82,3,123
2024-01-28,1,1,456.46,3,123
2024-01-29,1,1,711.45,3,123
2024-01-30,1,1,589.39,3,123
2024-01-31,1,1,723.55,3,123
2024-02-01,1,1,435.62,3,123
2024-02-02,1,1,392.83,3,123
2024-02-03,1,1,639.22,3,123
2024-02-04,1,1,633.82,3,123
2024-02-05,1,1,503.65,3,123
2024-02-06,1,1,430.51,3,123
2024-02-07,1,1,367.62,3,123
2024-02-08,1,1,608.11,3,123
2024-02-09,1,1,779.52,3,123
2024-02-10,1,1,657.49,3,123
2024-02-11,1,1,594.5,3,123
2024-02-12,1,1,595.36,3,123
2024-02-13,1,1,791.62,3,123
2024-02-14,1,1,402.91,3,123
2024-02-15,1,1,534.15,3,123
2024-02-16,1,1,607.73,3,123
2024-02-17,1,1,520.3,3,123
2024-02-18,1,1,836.27,3,123
2024-02-19,1,1,517.27,3,123
2024-02-20,1,1,447.11,3,123
2024-02-21,1,1,924.63,3,123
2024-02-22,1,1,524.48,3,123
2024-02-23,1,1,453.6,3,123
2024-02-24,1,1,556.76,3,123
2024-02-25,1,1,540.24,3,123
2024-02-26,1,1,659.08,3,123
2024-02-27,1,1,671.04,3,123
2024-02-28,1,1,349.58,3,123
2024-02-29,1,1,518.64,3,123
2024-03-01,1,1,573.9,3,123
2024-03-02,1,1,469.79,3,123
2024-03-03,1,1,600.99,3,123
2024-03-04,1,1,623.42,3,123
2024-03-05,1,1,472.83,3,123
2024-03-06,1,1,626.43,3,123
2024-03-07,1,1,629.18,3,123
2024-03-08,1,1,354.35,3,123
2024-03-09,1,1,406.15,3,123
2024-03-10,1,1,764.17,3,123
2024-03-11,1,1,432.92,3,123
2024-03-12,1,1,773.92,3,123
2024-03-13,1,1,725.42,3,123
2024-03-14,1,1,712.9,3,123
2024-03-15,1,1,600.35,3,123
2024-03-16,1,1,459.05,3,123
2024-03-17,1,1,451.19,3,123
2024-03-18,1,1,700.52,3,123
2024-03-19,1,1,437.53,3,123
2024-03-20,1,1,674.78,3,123
2024-03-21,1,1,429.04,3,123
2024-03-22,1,1,308.13,3,123
2024-03-23,1,1,246.66,3,123
2024-03-24,1,1,564.63,3,123
2024-03-25,1,1,427.08,3,123
2024-03-26,1,1,711.6,3,123
2024-03-27,1,1,674.28,3,123
2024-03-28,1,1,827.92,3,123
2024-03-29,1,1,611.44,3,123
2024-03-30,1,1,525.9,3,123
2024-03-31,1,1,547.92,3,123
2024-04-01,1,1,489.32,3,123
2024-04-02,1,1,413.9,3,123
2024-04-03,1,1,641.73,3,123
2024-04-04,1,1,397.23,3,123
2024-04-05,1,1,338.47,3,123
2024-04-06,1,1,300.58,3,123
2024-04-07,1,1,777.41,3,123
2024-04-08,1,1,328.62,3,123
2024-04-09,1,1,758.1,3,123
2024-04-10,1,1,896.47,3,123
2024-04-11,1,1,276.95,3,123
2024-04-12,1,1,401.39,3,123
2024-04-13,1,1,357.57,3,123
2024-04-14,1,1,576.34,3,123
2024-04-15,1,1,403.63,3,123
2024-04-16,1,1,441.97,3,123
2024-04-17,1,1,904.46,3,123
2024-04-18,1,1,699.82,3,123
2024-04-19,1,1,349.85,3,123
2024-04-20,1,1,452.45,3,123
2024-04-21,1,1,788.13,3,123
2024-04-22,1,1,671.29,3,123
2024-04-23,1,1,438.94,3,123
2024-04-24,1,1,830.3,3,123
2024-04-25,1,1,491.88,3,123
2024-04-26,1,1,424.84,3,123
2024-04-27,1,1,353.7,3,123
2024-04-28,1,1,336.22,3,123
2024-04-29,1,1,846.77,3,123
2024-04-30,1,1,591.91,3,123
2024-05-01,1,1,541.44,3,123
2024-05-02,1,1,494.75,3,123
2024-05-03,1,1,456.9,3,123
2024-05-04,1,1,440.27,3,123
2024-05-05,1,1,599.49,3,123
2024-05-06,1,1,531.76,3,123
2024-05-07,1,1,564.17,3,123
2024-05-08,1,1,510.69,3,123
2024-05-09,1,1,493.81,3,123
2024-05-10,1,1,678.08,3,123
2024-05-11,1,1,439.9,3,123
2024-05-12,1,1,541.02,3,123
2024-05-13,1,1,615.33,3,123
2024-05-14,1,1,720.43,3,123
2024-05-15,1,1,536.89,3,123
2024-05-16,1,1,391.73,3,123
2024-05-17,1,1,251.37,3,123
2024-05-18,1,1,330.03,3,123
2024-05-19,1,1,386.78,3,123
2024-05-20,1,1,727.53,3,123
2024-05-21,1,1,393.35,3,123
2024-05-22,1,1,690.99,3,123
2024-05-23,1,1,298.27,3,123
2024-05-24,1,1,408.05,3,123
2024-05-25,1,1,492.39,3,123
2024-05-26,1,1,775.86,3,123
2024-05-27,1,1,463.53,3,123
2024-05-28,1,1,558.01,3,123
2024-05-29,1,1,426.48,3,123
2024-05-30,1,1,518.32,3,123
2024-05-31,1,1,491.99,3,123
2024-06-01,1,1,258.94,3,123
2024-06-02,1,1,379.93,3,123
2024-06-03,1,1,657.97,3,123
2024-06-04,1,1,653.87,3,123
2024-06-05,1,1,620.63,3,123
2024-06-06,1,1,506.88,3,123
2024-06-07,1,1,299.38,3,123
2024-06-08,1,1,355.09,3,123
2024-06-09,1,1,578.82,3,123
2024-06-10,1,1,538.05,3,123
2024-06-11,1,1,680.59,3,123
2024-06-12,1,1,661.82,3,123
2024-06-13,1,1,1026.04,3,123
2024-06-14,1,1,363.34,3,123
2024-06-15,1,1,464.66,3,123
2024-06-16,1,1,485.18,3,123
2024-06-17,1,1,544.35,3,123
2024-06-18,1,1,706.27,3,123
2024-06-19,1,1,676.42,3,123
2024-06-20,1,1,433.0,3,123
2024-06-21,1,1,641.83,3,123
2024-06-22,1,1,333.8,3,123
2024-06-23,1,1,697.81,3,123
2024-06-24,1,1,649.54,3,123
2024-06-25,1,1,510.01,3,123
2024-06-26,1,1,681.16,3,123
2024-06-27,1,1,492.19,3,123
2024-06-28,1,1,450.47,3,123
2024-06-29,1,1,645.54,3,123
2024-06-30,1,1,899.33,3,123
2024-07-01,1,1,577.6,3,123
2024-07-02,1,1,625.58,3,123
2024-07-03,1,1,764.7,3,123
2024-07-04,1,1,598.0,3,123
2024-07-05,1,1,397.61,3,123
2024-07-06,1,1,410.49,3,123
2024-07-07,1,1,557.79,3,123
2024-07-08,1,1,722.08,3,123
2024-07-09,1,1,573.79,3,123
2024-07-10,1,1,686.94,3,123
2024-07-11,1,1,629.51,3,123
2024-07-12,1,1,348.19,3,123
2024-07-13,1,1,502.59,3,123
2024-07-14,1,1,488.5,3,123
2024-07-15,1,1,495.2,3,123
2024-07-16,1,1,685.55,3,123
2024-07-17,1,1,666.88,3,123
2024-07-18,1,1,582.6,3,123
2024-07-19,1,1,341.62,3,123
2024-07-20,1,1,552.88,3,123
2024-07-21,1,1,425.36,3,123
2024-07-22,1,1,582.2,3,123
2024-07-23,1,1,633.2,3,123
2024-07-24,1,1,852.96,3,123
2024-07-25,1,1,629.86,3,123
2024-07-26,1,1,605.18,3,123
2024-07-27,1,1,403.49,3,123
2024-07-28,1,1,445.43,3,123
2024-07-29,1,1,653.27,3,123
2024-07-30,1,1,334.19,3,123
2024-07-31,1,1,872.77,3,123
2024-08-01,1,1,481.99,3,123
2024-08-02,1,1,518.26,3,123
2024-08-03,1,1,475.99,3,123
2024-08-04,1,1,652.49,3,123
2024-08-05,1,1,403.56,3,123
2024-08-06,1,1,812.12,3,123
2024-08-07,1,1,524.6,3,123
2024-08-08,1,1,684.69,3,123
2024-08-09,1,1,424.63,3,123
2024-08-10,1,1,475.14,3,123
2024-08-11,1,1,433.92,3,123
2024-08-12,1,1,423.91,3,123
2024-08-13,1,1,476.25,3,123
2024-08-14,1,1,862.55,3,123
2024-08-15,1,1,522.17,3,123
2024-08-16,1,1,501.15,3,123
2024-08-17,1,1,515.12,3,123
2024-08-18,1,1,797.67,3,123
2024-08-19,1,1,303.88,3,123
2024-08-20,1,1,523.49,3,123
2024-08-21,1,1,760.21,3,123
2024-08-22,1,1,344.01,3,123
2024-08-23,1,1,610.43,3,123
2024-08-24,1,1,507.76,3,123
2024-08-25,1,1,543.53,3,123
2024-08-26,1,1,441.47,3,123
2024-08-27,1,1,286.03,3,123
2024-08-28,1,1,785.89,3,123
2024-08-29,1,1,536.67,3,123
2024-08-30,1,1,476.53,3,123
2024-08-31,1,1,493.94,3,123
2024-09-01,1,1,691.1,3,123
2024-09-02,1,1,514.69,3,123
2024-09-03,1,1,356.79,3,123
2024-09-04,1,1,493.88,3,123
2024-09-05,1,1,710.76,3,123
2024-09-06,1,1,559.26,3,123
2024-09-07,1,1,698.37,3,123
2024-09-08,1,1,464.72,3,123
2024-09-09,1,1,299.51,3,123
2024-09-10,1,1,736.05,3,123
2024-09-11,1,1,657.09,3,123
2024-09-12,1,1,519.73,3,123
2024-09-13,1,1,373.13,3,123
2024-09-14,1,1,557.01,3,123
2024-09-15,1,1,598.08,3,123
2024-09-16,1,1,447.54,3,123
2024-09-17,1,1,785.24,3,123
2024-09-18,1,1,773.03,3,123
2024-09-19,1,1,617.72,3,123
2024-09-20,1,1,559.26,3,123
2024-09-21,1,1,442.75,3,123
2024-09-22,1,1,473.91,3,123
2024-09-23,1,1,439.12,3,123
2024-09-24,1,1,1054.53,3,123
2024-09-25,1,1,757.65,3,123
2024-09-26,1,1,676.63,3,123
2024-09-27,1,1,318.6,3,123
2024-09-28,1,1,365.85,3,123
2024-09-29,1,1,587.58,3,123
2024-09-30,1,1,751.27,3,123
2024-10-01,1,1,533.23,3,123
2024-10-02,1,1,936.76,3,123
2024-10-03,1,1,287.61,3,123
2024-10-04,1,1,324.63,3,123
2024-10-05,1,1,445.02,3,123
2024-10-06,1,1,666.12,3,123
2024-10-07,1,1,488.92,3,123
2024-10-08,1,1,747.54,3,123
2024-10-09,1,1,807.71,3,123
2024-10-10,1,1,427.17,3,123
2024-10-11,1,1,503.04,3,123
2024-10-12,1,1,496.73,3,123
2024-10-13,1,1,472.35,3,123
2024-10-14,1,1,656.85,3,123
2024-10-15,1,1,756.84,3,123
2024-10-16,1,1,793.69,3,123
2024-10-17,1,1,410.88,3,123
2023-10-19,1,2,639.1,4,114
2023-10-20,1,2,607.7,4,114
2023-10-21,1,2,507.04,4,114
2023-10-22,1,2,374.47,4,114
2023-10-23,1,2,453.93,4,114
2023-10-24,1,2,563.12,4,114
2023-10-25,1,2,1020.55,4,114
2023-10-26,1,2,953.2,4,114
2023-10-27,1,2,770.25,4,114
2023-10-28,1,2,485.77,4,114
2023-10-29,1,2,945.17,4,114
2023-10-30,1,2,578.85,4,114
2023-10-31,1,2,754.68,4,114
2023-11-01,1,2,758.5,4,114
2023-11-02,1,2,669.8,4,114
2023-11-03,1,2,569.8,4,114
2023-11-04,1,2,628.15,4,114
2023-11-05,1,2,652.67,4,114
2023-11-06,1,2,651.59,4,114
2023-11-07,1,2,764.5,4,114
2023-11-08,1,2,693.16,4,114
2023-11-09,1,2,1098.54,4,114
2023-11-10,1,2,644.74,4,114
2023-11-11,1,2,576.05,4,114
2023-11-12,1,2,742.61,4,114
2023-11-13,1,2,842.28,4,114
2023-11-14,1,2,799.1,4,114
2023-11-15,1,2,742.07,4,114
2023-11-16,1,2,444.15,4,114
2023-11-17,1,2,350.47,4,114
2023-11-18,1,2,795.66,4,114
2023-11-19,1,2,800.36,4,114
2023-11-20,1,2,482.38,4,114
2023-11-21,1,2,899.2,4,114
2023-11-22,1,2,894.07,4,114
2023-11-23,1,2,681.74,4,114
2023-11-24,1,2,591.4,4,114
2023-11-25,1,2,644.03,4,114
2023-11-26,1,2,835.12,4,114
2023-11-27,1,2,623.49,4,114
2023-11-28,1,2,812.97,4,114
2023-11-29,1,2,756.05,4,114
2023-11-30,1,2,590.68,4,114
2023-12-01,1,2,443.03,4,114
2023-12-02,1,2,442.13,4,114
2023-12-03,1,2,779.8,4,114
2023-12-04,1,2,662.32,4,114
2023-12-05,1,2,1122.63,4,114
2023-12-06,1,2,967.87,4,114
2023-12-07,1,2,620.5,4,114
2023-12-08,1,2,586.37,4,114
2023-12-09,1,2,597.2,4,114
2023-12-10,1,2,780.62,4,114
2023-12-11,1,2,637.0,4,114
2023-12-12,1,2,934.25,4,114
2023-12-13,1,2,1117.59,4,114
2023-12-14,1,2,591.37,4,114
2023-12-15,1,2,611.09,4,114
2023-12-16,1,2,603.0,4,114
2023-12-17,1,2,600.13,4,114
2023-12-18,1,2,646.41,4,114
2023-12-19,1,2,666.87,4,114
2023-12-20,1,2,803.25,4,114
2023-12-21,1,2,808.81,4,114
2023-12-22,1,2,557.85,4,114
2023-12-23,1,2,392.79,4,114
2023-12-24,1,2,574.93,4,114
2023-12-25,1,2,474.48,4,114
2023-12-26,1,2,616.52,4,114
2023-12-27,1,2,750.84,4,114
2023-12-28,1,2,457.83,4,114
2023-12-29,1,2,359.61,4,114
2023-12-30,1,2,705.38,4,114
2023-12-31,1,2,784.67,4,114
2024-01-01,1,2,787.14,4,114
2024-01-02,1,2,1027.07,4,114
2024-01-03,1,2,725.28,4,114
2024-01-04,1,2,631.38,4,114
2024-01-05,1,2,807.59,4,114
2024-01-06,1,2,532.33,4,114
2024-01-07,1,2,725.82,4,114
2024-01-08,1,2,574.02,4,114
2024-01-09,1,2,795.7,4,114
2024-01-10,1,2,600.72,4,114
2024-01-11,1,2,756.66,4,114
2024-01-12,1,2,395.69,4,114
2024-01-13,1,2,661.14,4,114
2024-01-14,1,2,756.72,4,114
2024-01-15,1,2,682.4,4,114
2024-01-16,1,2,789.73,4,114
2024-01-17,1,2,818.59,4,114
2024-01-18,1,2,490.69,4,114
2024-01-19,1,2,555.71,4,114
2024-01-20,1,2,801.05,4,114
2024-01-21,1,2,1056.17,4,114
2024-01-22,1,2,558.25,4,114
2024-01-23,1,2,820.01,4,114
2024-01-24,1,2,914.06,4,114
2024-01-25,1,2,743.4,4,114
2024-01-26,1,2,524.22,4,114
2024-01-27,1,2,586.87,4,114
2024-01-28,1,2,637.3,4,114
2024-01-29,1,2,845.3,4,114
2024-01-30,1,2,585.42,4,114
2024-01-31,1,2,1170.9,4,114
2024-02-01,1,2,805.65,4,114
2024-02-02,1,2,623.41,4,114
2024-02-03,1,2,644.99,4,114
2024-02-04,1,2,717.88,4,114
2024-02-05,1,2,633.1,4,114
2024-02-06,1,2,468.33,4,114
2024-02-07,1,2,880.21,4,114
2024-02-08,1,2,876.52,4,114
2024-02-09,1,2,444.93,4,114
2024-02-10,1,2,664.51,4,114
2024-02-11,1,2,716.46,4,114
2024-02-12,1,2,603.77,4,114
2024-02-13,1,2,906.27,4,114
2024-02-14,1,2,983.75,4,114
2024-02-15,1,2,693.28,4,114
2024-02-16,1,2,719.58,4,114
2024-02-17,1,2,666.85,4,114
2024-02-18,1,2,622.29,4,114
2024-02-19,1,2,865.82,4,114
2024-02-20,1,2,848.69,4,114
2024-02-21,1,2,1205.6,4,114
2024-02-22,1,2,758.03,4,114
2024-02-23,1,2,525.18,4,114
2024-02-24,1,2,727.97,4,114
2024-02-25,1,2,601.72,4,114
2024-02-26,1,2,653.85,4,114
2024-02-27,1,2,745.13,4,114
2024-02-28,1,2,792.69,4,114
2024-02-29,1,2,578.74,4,114
2024-03-01,1,2,339.15,4,114
2024-03-02,1,2,448.64,4,114
2024-03-03,1,2,330.65,4,114
2024-03-04,1,2,763.15,4,114
2024-03-05,1,2,525.82,4,114
2024-03-06,1,2,1082.84,4,114
2024-03-07,1,2,651.66,4,114
2024-03-08,1,2,354.47,4,114
2024-03-09,1,2,678.69,4,114
2024-03-10,1,2,489.62,4,114
2024-03-11,1,2,625.11,4,114
2024-03-12,1,2,1044.93,4,114
2024-03-13,1,2,923.84,4,114
2024-03-14,1,2,684.47,4,114
2024-03-15,1,2,891.09,4,114
2024-03-16,1,2,324.37,4,114
2024-03-17,1,2,461.64,4,114
2024-03-18,1,2,643.87,4,114
2024-03-19,1,2,1048.78,4,114
2024-03-20,1,2,945.51,4,114
2024-03-21,1,2,638.29,4,114
2024-03-22,1,2,415.97,4,114
2024-03-23,1,2,713.38,4,114
2024-03-24,1,2,856.14,4,114
2024-03-25,1,2,712.75,4,114
2024-03-26,1,2,896.55,4,114
2024-03-27,1,2,519.67,4,114
2024-03-28,1,2,459.5,4,114
2024-03-29,1,2,637.32,4,114
2024-03-30,1,2,348.23,4,114
2024-03-31,1,2,690.78,4,114
2024-04-01,1,2,487.05,4,114
2024-04-02,1,2,353.98,4,114
2024-04-03,1,2,778.67,4,114
2024-04-04,1,2,818.66,4,114
2024-04-05,1,2,690.23,4,114
2024-04-06,1,2,452.43,4,114
2024-04-07,1,2,518.29,4,114
2024-04-08,1,2,707.42,4,114
2024-04-09,1,2,1090.38,4,114
2024-04-10,1,2,1046.24,4,114
2024-04-11,1,2,742.45,4,114
2024-04-12,1,2,629.55,4,114
2024-04-13,1,2,572.47,4,114
2024-04-14,1,2,730.95,4,114
2024-04-15,1,2,603.98,4,114
2024-04-16,1,2,699.28,4,114
2024-04-17,1,2,646.23,4,114
2024-04-18,1,2,669.48,4,114
2024-04-19,1,2,511.15,4,114
2024-04-20,1,2,774.28,4,114
2024-04-21,1,2,721.91,4,114
2024-04-22,1,2,910.4,4,114
2024-04-23,1,2,856.55,4,114
2024-04-24,1,2,967.51,4,114
2024-04-25,1,2,216.96,4,114
2024-04-26,1,2,622.3,4,114
2024-04-27,1,2,527.8,4,114
2024-04-28,1,2,678.26,4,114
2024-04-29,1,2,614.69,4,114
2024-04-30,1,2,493.43,4,114
2024-05-01,1,2,696.57,4,114
2024-05-02,1,2,373.99,4,114
2024-05-03,1,2,422.53,4,114
2024-05-04,1,2,650.27,4,114
2024-05-05,1,2,656.81,4,114
2024-05-06,1,2,457.84,4,114
2024-05-07,1,2,767.57,4,114
2024-05-08,1,2,653.69,4,114
2024-05-09,1,2,820.08,4,114
2024-05-10,1,2,669.08,4,114
2024-05-11,1,2,417.37,4,114
2024-05-12,1,2,752.0,4,114
2024-05-13,1,2,578.29,4,114
2024-05-14,1,2,906.02,4,114
2024-05-15,1,2,668.72,4,114
2024-05-16,1,2,978.33,4,114
2024-05-17,1,2,461.11,4,114
2024-05-18,1,2,519.65,4,114
2024-05-19,1,2,818.53,4,114
2024-05-20,1,2,641.62,4,114
2024-05-21,1,2,729.77,4,114
2024-05-22,1,2,764.97,4,114
2024-05-23,1,2,543.17,4,114
2024-05-24,1,2,613.41,4,114
2024-05-25,1,2,436.03,4,114
2024-05-26,1,2,680.17,4,114
2024-05-27,1,2,690.83,4,114
2024-05-28,1,2,792.47,4,114
2024-05-29,1,2,616.63,4,114
2024-05-30,1,2,639.31,4,114
2024-05-31,1,2,374.41,4,114
2024-06-01,1,2,490.54,4,114
2024-06-02,1,2,890.42,4,114
2024-06-03,1,2,723.7,4,114
2024-06-04,1,2,943.88,4,114
2024-06-05,1,2,816.93,4,114
2024-06-06,1,2,525.65,4,114
2024-06-07,1,2,499.75,4,114
2024-06-08,1,2,693.48,4,114
2024-06-09,1,2,803.08,4,114
2024-06-10,1,2,768.27,4,114
2024-06-11,1,2,674.71,4,114
2024-06-12,1,2,981.36,4,114
2024-06-13,1,2,641.84,4,114
2024-06-14,1,2,519.22,4,114
2024-06-15,1,2,544.94,4,114
2024-06-16,1,2,600.79,4,114
2024-06-17,1,2,718.74,4,114
2024-06-18,1,2,736.25,4,114
2024-06-19,1,2,1181.02,4,114
2024-06-20,1,2,548.42,4,114
2024-06-21,1,2,552.91,4,114
2024-06-22,1,2,735.94,4,114
2024-06-23,1,2,682.68,4,114
2024-06-24,1,2,443.14,4,114
2024-06-25,1,2,795.74,4,114
2024-06-26,1,2,811.21,4,114
2024-06-27,1,2,755.15,4,114
2024-06-28,1,2,675.09,4,114
2024-06-29,1,2,425.27,4,114
2024-06-30,1,2,752.48,4,114
2024-07-01,1,2,749.65,4,114
2024-07-02,1,2,805.7,4,114
2024-07-03,1,2,732.27,4,114
2024-07-04,1,2,1079.41,4,114
2024-07-05,1,2,498.16,4,114
2024-07-06,1,2,463.93,4,114
2024-07-07,1,2,482.35,4,114
2024-07-08,1,2,705.94,4,114
2024-07-09,1,2,1083.0,4,114
2024-07-10,1,2,1043.7,4,114
2024-07-11,1,2,799.9,4,114
2024-07-12,1,2,738.65,4,114
2024-07-13,1,2,798.95,4,114
2024-07-14,1,2,532.16,4,114
2024-07-15,1,2,740.6,4,114
2024-07-16,1,2,1083.67,4,114
2024-07-17,1,2,647.66,4,114
2024-07-18,1,2,718.03,4,114
2024-07-19,1,2,672.52,4,114
2024-07-20,1,2,669.28,4,114
2024-07-21,1,2,777.71,4,114
2024-07-22,1,2,806.72,4,114
2024-07-23,1,2,886.26,4,114
2024-07-24,1,2,956.25,4,114
2024-07-25,1,2,806.68,4,114
2024-07-26,1,2,570.8,4,114
2024-07-27,1,2,540.38,4,114
2024-07-28,1,2,544.26,4,114
2024-07-29,1,2,367.61,4,114
2024-07-30,1,2,888.78,4,114
2024-07-31,1,2,1080.76,4,114
2024-08-01,1,2,802.52,4,114
2024-08-02,1,2,688.9,4,114
2024-08-03,1,2,802.9,4,114
2024-08-04,1,2,859.73,4,114
2024-08-05,1,2,633.13,4,114
2024-08-06,1,2,1260.04,4,114
2024-08-07,1,2,656.34,4,114
2024-08-08,1,2,632.76,4,114
2024-08-09,1,2,443.07,4,114
2024-08-10,1,2,533.04,4,114
2024-08-11,1,2,965.7,4,114
2024-08-12,1,2,631.93,4,114
2024-08-13,1,2,826.17,4,114
2024-08-14,1,2,747.89,4,114
2024-08-15,1,2,767.8,4,114
2024-08-16,1,2,383.09,4,114
2024-08-17,1,2,329.04,4,114
2024-08-18,1,2,630.92,4,114
2024-08-19,1,2,492.14,4,114
2024-08-20,1,2,658.97,4,114
2024-08-21,1,2,879.9,4,114
2024-08-22,1,2,886.3,4,114
2024-08-23,1,2,535.09,4,114
2024-08-24,1,2,648.93,4,114
2024-08-25,1,2,1007.55,4,114
2024-08-26,1,2,982.33,4,114
2024-08-27,1,2,692.07,4,114
2024-08-28,1,2,824.86,4,114
2024-08-29,1,2,700.69,4,114
2024-08-30,1,2,395.13,4,114
2024-08-31,1,2,541.56,4,114
2024-09-01,1,2,548.08,4,114
2024-09-02,1,2,664.22,4,114
2024-09-03,1,2,854.44,4,114
2024-09-04,1,2,714.4,4,114
2024-09-05,1,2,592.67,4,114
2024-09-06,1,2,504.72,4,114
2024-09-07,1,2,300.85,4,114
2024-09-08,1,2,647.54,4,114
2024-09-09,1,2,507.74,4,114
2024-09-10,1,2,613.44,4,114
2024-09-11,1,2,808.77,4,114
2024-09-12,1,2,579.68,4,114
2024-09-13,1,2,568.31,4,114
2024-09-14,1,2,543.84,4,114
2024-09-15,1,2,775.0,4,114
2024-09-16,1,2,725.66,4,114
2024-09-17,1,2,820.56,4,114
2024-09-18,1,2,1182.85,4,114
2024-09-19,1,2,529.11,4,114
2024-09-20,1,2,660.33,4,114
2024-09-21,1,2,712.0,4,114
2024-09-22,1,2,616.39,4,114
2024-09-23,1,2,757.58,4,114
2024-09-24,1,2,823.75,4,114
2024-09-25,1,2,505.3,4,114
2024-09-26,1,2,693.32,4,114
2024-09-27,1,2,532.21,4,114
2024-09-28,1,2,553.8,4,114
2024-09-29,1,2,436.78,4,114
2024-09-30,1,2,721.78,4,114
2024-10-01,1,2,871.66,4,114
2024-10-02,1,2,963.38,4,114
2024-10-03,1,2,687.44,4,114
2024-10-04,1,2,793.57,4,114
2024-10-05,1,2,419.04,4,114
2024-10-06,1,2,488.76,4,114
2024-10-07,1,2,552.86,4,114
2024-10-08,1,2,803.03,4,114
2024-10-09,1,2,962.53,4,114
2024-10-10,1,2,615.51,4,114
2024-10-11,1,2,598.21,4,114
2024-10-12,1,2,463.93,4,114
2024-10-13,1,2,675.0,4,114
2024-10-14,1,2,500.17,4,114
2024-10-15,1,2,961.53,4,114
2024-10-16,1,2,1010.93,4,114
2024-10-17,1,2,703.03,4,114
2023-10-19,1,3,995.29,4,144
2023-10-20,1,3,994.88,4,144
2023-10-21,1,3,907.55,4,144
